Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,Inflation rate,GDP,Target
1,4,1,9,1,2,3,27,3,6,1,0,1,0,0,0,38,5,5,0,0.0,15.5,2.8,-4.06,True
1,8,1,9,1,1,13,27,6,8,1,0,0,0,1,0,19,5,13,1,11.0,9.4,-0.8,-3.12,True
1,8,3,12,1,1,3,3,10,8,1,0,0,1,1,0,19,8,9,8,14.444444444444445,13.9,-0.3,0.79,False
1,8,1,12,1,1,1,27,10,8,0,0,0,1,0,1,18,8,8,8,15.075,13.9,-0.3,0.79,False
5,12,1,4,1,1,1,1,5,9,0,0,1,0,0,0,27,6,7,0,0.0,8.9,1.4,3.51,True
1,12,1,17,0,1,23,28,10,10,0,0,0,1,0,0,27,5,10,5,11.0,9.4,-0.8,-3.12,True
1,1,2,5,1,1,13,14,4,4,1,1,0,0,1,0,19,6,6,0,0.0,9.4,-0.8,-3.12,True
1,8,3,9,1,1,22,28,6,2,0,0,0,1,0,0,18,5,6,4,12.5,9.4,-0.8,-3.12,False
1,1,2,5,1,1,22,27,10,10,1,0,0,1,1,1,21,6,8,6,13.285714285714286,8.9,1.4,3.51,False
1,1,3,12,1,1,13,14,6,5,1,0,0,1,0,1,20,8,8,8,13.38125,9.4,-0.8,-3.12,False
1,1,1,15,1,1,3,14,3,4,1,0,0,1,0,0,19,6,7,6,11.666666666666666,8.9,1.4,3.51,False
1,7,3,6,1,1,22,27,10,3,1,0,0,1,0,1,18,6,9,6,12.0,15.5,2.8,-4.06,False
1,1,1,15,1,1,1,28,4,6,1,0,0,1,1,0,19,6,8,5,12.4,9.4,-0.8,-3.12,False
1,9,1,3,0,1,1,1,5,4,0,0,1,1,0,0,20,6,15,4,12.0,16.2,0.3,-0.92,False
1,15,1,10,1,14,1,27,5,9,1,0,0,1,0,1,20,6,6,6,14.166666666666666,13.9,-0.3,0.79,False
1,1,1,10,1,1,13,14,10,10,1,0,1,1,0,1,19,6,7,6,12.666666666666666,8.9,1.4,3.51,False
1,9,1,12,1,1,23,27,6,6,0,0,0,1,0,0,20,8,9,7,12.33,15.5,2.8,-4.06,False
1,16,1,4,1,14,1,14,5,5,1,0,1,0,1,0,22,6,13,2,11.0,8.9,1.4,3.51,True
1,8,1,6,1,1,13,14,5,10,1,0,1,0,0,1,21,6,8,0,0.0,15.5,2.8,-4.06,True
1,8,3,12,1,1,23,14,10,9,1,0,0,1,1,0,18,8,9,8,12.48125,13.9,-0.3,0.79,False
1,12,1,3,0,1,22,27,12,6,0,0,0,0,1,0,33,6,0,0,0.0,10.8,1.4,1.74,True
1,1,2,12,1,1,23,28,10,9,1,0,0,1,0,1,20,8,9,8,13.044444444444444,13.9,-0.3,0.79,False
1,1,6,16,1,1,23,28,10,8,1,0,0,1,0,0,18,6,7,6,12.333333333333334,10.8,1.4,1.74,True
1,14,1,11,1,1,10,14,10,10,0,0,0,0,1,0,31,7,12,5,12.0,7.6,2.6,0.32,True
1,8,1,10,1,1,13,27,8,10,0,0,0,1,0,0,20,5,5,0,0.0,8.9,1.4,3.51,True
1,1,1,6,1,1,23,14,10,5,1,0,0,1,0,1,19,5,8,5,12.714285714285714,10.8,1.4,1.74,False
2,12,1,17,0,12,13,14,5,5,0,0,0,0,1,0,49,5,5,1,11.0,15.5,2.8,-4.06,True
2,12,1,6,1,12,22,27,12,12,0,0,0,0,1,0,29,5,5,0,0.0,12.7,3.7,-1.7,True
1,4,1,10,1,3,22,27,10,10,1,0,0,1,0,0,36,11,16,11,13.0,16.2,0.3,-0.92,False
1,8,2,11,1,1,1,14,5,7,0,0,0,1,0,0,20,6,0,0,0.0,11.1,0.6,2.02,True
1,12,1,6,1,9,19,24,13,13,0,0,1,0,1,0,27,5,5,0,0.0,7.6,2.6,0.32,True
1,1,2,10,1,1,22,28,5,8,1,0,0,1,0,0,19,6,0,0,0.0,16.2,0.3,-0.92,True
1,12,1,17,0,9,22,28,6,6,0,0,0,1,1,0,33,5,6,5,14.833333333333334,10.8,1.4,1.74,False
1,12,1,3,0,1,22,27,10,9,0,0,0,1,0,1,33,6,6,6,14.333333333333334,12.7,3.7,-1.7,False
2,12,1,17,0,9,22,24,12,12,1,0,0,1,0,0,50,5,0,0,0.0,7.6,2.6,0.32,True
1,8,2,16,1,1,1,28,5,9,1,0,0,1,0,0,19,6,7,5,11.2,10.8,1.4,1.74,False
1,4,1,4,1,3,3,14,3,11,0,0,0,0,1,0,35,6,9,1,11.0,15.5,2.8,-4.06,True
1,4,1,3,0,3,22,10,10,5,0,0,0,0,0,0,26,5,10,0,0.0,9.4,-0.8,-3.12,True
1,12,1,4,1,12,4,1,3,5,0,0,0,1,1,0,25,3,5,0,0.0,16.2,0.3,-0.92,True
1,8,3,10,1,1,1,1,5,6,0,0,0,1,0,0,19,6,13,5,11.6,15.5,2.8,-4.06,False
1,8,2,2,1,1,1,1,3,4,1,0,0,1,1,0,20,0,0,0,0.0,11.1,0.6,2.02,True
1,8,1,16,1,1,22,28,10,10,1,0,0,1,0,1,21,6,8,5,11.2,10.8,1.4,1.74,True
1,1,2,12,1,1,3,27,5,8,1,0,0,1,0,1,19,8,10,7,12.05,12.4,0.5,1.79,False
1,1,1,10,1,1,1,28,5,7,0,1,1,0,1,0,19,6,6,5,11.0,8.9,1.4,3.51,True
1,1,5,12,1,1,13,14,8,9,1,0,0,1,0,1,18,8,8,7,12.694285714285714,10.8,1.4,1.74,False
1,1,1,2,1,1,1,28,5,10,1,0,0,0,0,0,19,0,0,0,0.0,7.6,2.6,0.32,True
1,8,1,7,1,1,13,1,6,5,1,0,0,1,1,0,20,5,7,5,14.571428571428571,11.1,0.6,2.02,True
1,8,1,8,1,1,2,1,5,2,0,0,0,1,1,0,18,6,10,5,12.166666666666666,11.1,0.6,2.02,True
1,8,1,11,1,1,22,27,6,10,1,0,0,1,0,0,19,6,11,1,14.0,7.6,2.6,0.32,True
1,1,2,9,1,1,1,14,5,5,1,0,0,1,1,0,21,5,6,5,11.4,11.1,0.6,2.02,False
1,14,1,17,0,1,22,27,10,9,0,0,0,1,0,0,34,1,1,1,11.0,10.8,1.4,1.74,True
4,12,1,11,1,1,22,27,10,9,0,0,0,1,0,1,36,6,14,3,11.333333333333334,10.8,1.4,1.74,False
1,15,1,5,1,14,1,14,5,8,0,0,1,0,1,0,20,6,12,0,0.0,16.2,0.3,-0.92,True
1,14,1,12,1,6,1,27,10,10,1,0,0,1,0,0,19,7,7,6,13.333333333333334,7.6,2.6,0.32,False
1,8,3,13,1,1,13,14,10,5,1,0,0,1,0,1,19,8,8,8,13.375,16.2,0.3,-0.92,True
1,6,1,9,1,1,22,2,7,5,0,0,1,1,1,0,19,5,8,4,11.25,12.4,0.5,1.79,False
1,1,4,15,1,1,1,14,10,10,1,0,0,1,1,0,19,6,10,5,13.2,16.2,0.3,-0.92,False
1,1,1,2,1,1,1,1,10,10,1,0,0,1,1,0,25,17,22,17,12.055555555555555,12.4,0.5,1.79,False
1,1,1,14,1,1,23,14,1,3,1,0,0,1,1,0,21,5,5,0,0.0,9.4,-0.8,-3.12,True
1,1,1,6,1,1,23,14,10,4,0,0,0,1,1,0,19,6,8,6,14.142857142857142,11.1,0.6,2.02,False
1,4,1,7,1,15,1,1,5,5,0,0,0,1,1,0,27,5,7,5,15.142857142857142,11.1,0.6,2.02,True
1,8,5,5,1,1,4,1,5,5,1,1,0,1,0,1,17,6,6,6,12.5,15.5,2.8,-4.06,False
1,4,1,3,0,3,1,1,5,5,0,0,0,1,0,0,30,6,0,0,0.0,10.8,1.4,1.74,True
1,1,1,3,0,1,19,27,10,12,1,0,0,1,0,0,25,6,6,6,12.833333333333334,7.6,2.6,0.32,False
1,12,1,6,1,1,22,27,12,12,0,0,1,0,1,0,35,5,8,2,10.5,7.6,2.6,0.32,True
1,1,2,6,1,1,23,14,5,10,1,0,0,1,0,0,18,6,6,6,15.5,8.9,1.4,3.51,False
1,12,2,9,1,12,23,14,5,11,0,0,0,0,1,0,32,5,9,0,0.0,10.8,1.4,1.74,True
5,14,1,12,1,1,1,28,6,6,0,0,0,1,0,1,18,8,8,7,11.857142857142858,12.7,3.7,-1.7,False
1,1,1,6,1,1,3,2,2,2,1,0,0,0,0,0,22,5,5,4,12.75,9.4,-0.8,-3.12,True
1,12,1,4,1,1,3,1,3,5,0,0,1,0,1,0,35,6,10,4,16.0,8.9,1.4,3.51,True
1,1,1,12,1,1,13,14,5,8,0,0,0,1,0,1,19,8,8,8,15.35,13.9,-0.3,0.79,False
1,1,1,10,1,1,13,1,7,6,1,0,0,1,0,0,19,6,6,6,13.166666666666666,12.7,3.7,-1.7,False
1,2,1,16,1,1,13,28,10,10,0,0,0,0,0,0,28,8,8,8,12.0,15.5,2.8,-4.06,True
1,12,1,17,0,1,22,27,10,6,1,0,1,1,1,0,33,5,9,2,11.5,12.7,3.7,-1.7,True
1,14,1,4,1,1,2,4,5,2,0,0,0,1,1,0,35,13,13,12,11.5,15.5,2.8,-4.06,False
2,4,1,8,1,3,3,3,2,2,0,0,0,1,0,0,33,5,8,2,12.0,9.4,-0.8,-3.12,True
